    PID TTY          TIME CMD
      1 ?        00:00:00 systemd
      2 ?        00:00:00 init-systemd(Ub
      7 ?        00:00:00 init
     68 ?        00:00:00 systemd-journal
    114 ?        00:00:00 systemd-udevd
    127 ?        00:00:00 systemd-resolve
    137 ?        00:00:00 systemd-timesyn
    216 ?        00:00:00 cron
    217 ?        00:00:00 dbus-daemon
    224 ?        00:00:00 systemd-logind
    227 ?        00:00:00 wsl-pro-service
    236 hvc0     00:00:00 agetty
    246 ?        00:00:00 rsyslogd
    248 tty1     00:00:00 agetty
    257 ?        00:00:00 unattended-upgr
    338 ?        00:00:00 SessionLeader
    339 ?        00:00:00 Relay(340)
    340 pts/0    00:00:00 bash
    341 pts/1    00:00:00 login
    384 ?        00:00:00 systemd
    385 ?        00:00:00 (sd-pam)
    401 pts/1    00:00:00 bash
    525 pts/0    00:00:00 ps
